State,Year,Cause.General,Total.Deaths
South Carolina,2019,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,1
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2018,Undetermined,0
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2019,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2020,Undetermined,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2015,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2016,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
South Carolina,2017,Pending,"NA"
