Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
Texas,NA,NA,NA,447,700,583,562,575,NA,NA,NA,NA,161243,148397,133733,137982,144243,150353,NA,NA,NA,27.722133674019958,47.17076490764638,43.59432600779164,40.72995028337029,39.863286259991824,NA,NA,NA,NA,NA,NA,NA
Utah,NA,NA,NA,21,36,27,NA,NA,NA,NA,NA,NA,6707,6029,5641,5875,6096,6469,NA,NA,NA,31.31057104517668,59.711394924531426,47.863853926608755,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,NA,NA,NA,4,2,1,67,84,NA,NA,NA,NA,1633,1392,1252,1338,1330,1374,NA,NA,NA,24.49479485609308,14.367816091954023,7.987220447284344,500.7473841554559,631.578947368421,NA,NA,NA,NA,NA,NA,NA
Virginia,NA,NA,NA,90,128,121,NA,NA,NA,NA,NA,NA,36391,33834,31018,27850,27241,27417,NA,NA,NA,24.731389629303948,37.83176686173671,39.00960732477916,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NA,NA,NA,37,51,18,NA,NA,NA,NA,NA,NA,19265,17235,14867,13673,13913,14147,NA,NA,NA,19.205813651699973,29.59094865100087,12.107351853097464,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,NA,NA,NA,28,46,24,NA,NA,NA,NA,NA,NA,6787,5698,3992,4518,4912,4793,NA,NA,NA,41.25534109326654,80.73008073008073,60.120240480961925,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,NA,NA,NA,51,70,49,51,55,NA,NA,NA,NA,24013,22248,20277,20975,22293,23190,NA,NA,NA,21.238495814767003,31.463502337288745,24.165310450263846,24.31466030989273,24.67142152245099,NA,NA,NA,NA,NA,NA,NA
Wyoming,NA,NA,NA,10,5,10,10,9,NA,NA,NA,NA,2511,2236,1924,2194,2139,2238,NA,NA,NA,39.8247710075667,22.361359570661897,51.975051975051976,45.57885141294439,42.07573632538569,NA,NA,NA,NA,NA,NA,NA
BoP - Alabama,3,1,4,4,5,10,0,NA,NA,3730,3389,3418,3399,2648,2538,3001,3160,NA,8.04289544235925,2.950722927117144,11.702750146284377,11.768167107972932,18.882175226586103,39.40110323089046,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Arkansas,4,3,4,4,6,7,0,NA,NA,3474,3511,3388,3079,2956,2863,3351,3455,NA,11.514104778353484,8.54457419538593,11.806375442739078,12.991230919129586,20.29769959404601,24.449877750611247,0,NA,NA,NA,NA,NA,NA,NA,NA
