"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921"
"Oregon",41,50,52,21.9512195121951,4,26.8292682926829,25.7991442235087,35.7347055460263,38.7106379810913,38.5112050091341,8.32784932628601,50.0462094623179,15892,13992,13433,-11.955700981626,-3.99514008004574,-15.4731940599044
"Pennsylvania",158,217,236,37.3417721518987,8.75576036866359,49.3670886075949,33.84022274577,51.7714422044614,61.6799958183054,52.9878883877407,19.1390333974318,82.2682914402961,46690,41915,38262,-10.2270293424716,-8.71525706787546,-18.0509745127436
"Rhode Island",3,8,NA,166.666666666667,NA,NA,10.8932461873638,34.5125107851596,NA,216.824849007765,NA,NA,2754,2318,NA,-15.8315177923021,NA,NA
"South Carolina",71,121,90,70.4225352112676,-25.6198347107438,26.7605633802817,37.6877753596263,70.2752932977117,56.0084635011513,86.4670775261395,-20.3013450774527,48.6117526617168,18839,17218,16069,-8.60449068421891,-6.67324892554304,-14.7035405276289
"South Dakota",14,11,10,-21.4285714285714,-9.09090909090909,-28.5714285714286,36.2131401965856,31.7919075144509,30.750307503075,-12.2089182493807,-3.27630549032764,-15.0852222807942,3866,3460,3252,-10.5018106570098,-6.01156069364162,-15.882048629074
"Tennessee",105,164,83,56.1904761904762,-49.390243902439,-20.952380952381,39.3111194309247,67.1745719669042,36.0963729668609,70.8793159272392,-46.2648262431133,-8.17770267191856,26710,24414,22994,-8.59603144889554,-5.81633488981732,-13.9123923624111
"Texas",447,700,583,56.5995525727069,-16.7142857142857,30.4250559284116,27.688133745455,48.2971794447204,43.8266778927111,74.4327728576087,-9.25623732774322,58.2868614245452,161441,144936,133024,-10.2235491603744,-8.21880002207871,-17.602096121803
"Utah",21,36,NA,71.4285714285714,NA,NA,31.3199105145414,60.271220492215,NA,92.4373968572863,NA,NA,6705,5973,NA,-10.917225950783,NA,NA
"Vermont",7,NA,NA,NA,NA,NA,42.8134556574924,NA,NA,NA,NA,NA,1635,NA,NA,NA,NA,NA
"Virginia",90,128,NA,42.2222222222222,NA,NA,24.7144112478032,38.4488300141179,NA,55.5725104215687,NA,NA,36416,33291,NA,-8.5813927943761,NA,NA
"Washington",37,51,NA,37.8378378378378,NA,NA,19.1978415399782,30.6435137895812,NA,59.6195787207023,NA,NA,19273,16643,NA,-13.6460333108494,NA,NA
"West Virginia",42,67,35,59.5238095238095,-47.7611940298507,-16.6666666666667,61.8921308576481,140.785879386426,89.628681177977,127.469756551496,-36.336881533434,44.8143405889885,6786,4759,3905,-29.8703212496316,-17.9449464173146,-42.45505452402
"Wisconsin",51,70,NA,37.2549019607843,NA,NA,21.2340744441669,32.133676092545,NA,51.3307122334795,NA,NA,24018,21784,NA,-9.30135731534682,NA,NA
"Wyoming",10,5,3,-50,-40,-70,39.7930760047752,25.0501002004008,15.9574468085106,-37.0490981963928,-36.2978723404255,-59.8989361702128,2513,1996,1880,-20.5730202944688,-5.81162324649299,-25.1890171110227
