State,Year,Month,Facility,Total.Deaths
Oregon,2019,August,CCCF,0
Oregon,2019,September,CCCF,0
Oregon,2019,October,CCCF,0
Oregon,2019,November,CCCF,0
Oregon,2019,December,CCCF,0
Oregon,2020,January,CCCF,0
Oregon,2020,February,CCCF,0
Oregon,2020,March,CCCF,0
Oregon,2020,April,CCCF,0
Oregon,2020,May,CCCF,0
Oregon,2020,June,CCCF,0
Oregon,2020,July,CCCF,0
Oregon,2020,August,CCCF,0
Oregon,2020,September,CCCF,0
Oregon,2020,October,CCCF,1
Oregon,2020,November,CCCF,2
Oregon,2020,December,CCCF,0
Oregon,2015,January,TRCM,0
Oregon,2015,February,TRCM,0
Oregon,2015,March,TRCM,0
Oregon,2015,April,TRCM,0
Oregon,2015,May,TRCM,0
Oregon,2015,June,TRCM,0
Oregon,2015,July,TRCM,0
Oregon,2015,August,TRCM,0
Oregon,2015,September,TRCM,0
Oregon,2015,October,TRCM,0
Oregon,2015,November,TRCM,0
Oregon,2015,December,TRCM,0
Oregon,2016,January,TRCM,0
Oregon,2016,February,TRCM,0
Oregon,2016,March,TRCM,0
Oregon,2016,April,TRCM,0
Oregon,2016,May,TRCM,0
Oregon,2016,June,TRCM,0
Oregon,2016,July,TRCM,0
Oregon,2016,August,TRCM,0
Oregon,2016,September,TRCM,1
Oregon,2016,October,TRCM,0
Oregon,2016,November,TRCM,0
Oregon,2016,December,TRCM,0
Oregon,2017,January,TRCM,0
Oregon,2017,February,TRCM,0
Oregon,2017,March,TRCM,0
Oregon,2017,April,TRCM,0
Oregon,2017,May,TRCM,0
Oregon,2017,June,TRCM,0
Oregon,2017,July,TRCM,0
Oregon,2017,August,TRCM,0
Oregon,2017,September,TRCM,0
Oregon,2017,October,TRCM,0
Oregon,2017,November,TRCM,0
Oregon,2017,December,TRCM,0
Oregon,2018,January,TRCM,0
Oregon,2018,February,TRCM,0
Oregon,2018,March,TRCM,0
Oregon,2018,April,TRCM,0
Oregon,2018,June,TRCM,0
Oregon,2018,August,TRCM,0
